"Intake Name","German Intake Name","Application Deadline","Intake Status","Study Starts  Date","Deposit Amount","Record ID","Created On","Updated On","Program","Total Applications","Degree Levels"
"Summer Semester 2027","Sommersemester 2027","31/12/2026","Open","01/02/2027","$500.00","69bd4943457d49a807c472c9","03/20/2026 6:18am","05/28/2026 12:19am","Artificial Intelligence (Bachelor of Arts),Care & Management (Bachelor of Science),Digital Business Management (Bachelor of Arts),Digital Transformation Management (Master of Science),Global SMEs (Master of Arts),International Business Administration (Bachelor of Arts),International Management (Master of Arts),International Technology Transfer Management (Master of Science),                                     Management and Technology (Bachelor of Engineering)                               Major: Energy & Environment,                                     Management and Technology (Bachelor of Engineering)                                     Major: Mechanical Engineering,Marketing Management (Bachelor of Arts),                 Master of Business Administration (MBA) – General Technology Management                 Major: Data Science,                 Master of Business Administration (MBA) – General Technology Management                 Major: Environment and Energy Management,Occupational Therapy (Bachelor of Science),Physician Assistance (Bachelor of Science),Physiotherapy (Bachelor of Science),Sports Management (Bachelor of Arts),Sustainability and Climate Management (Master of Arts)","0",""
"Winter Semester 2026/27","Wintersemester 2026/27","31/08/2025","Open","01/10/2026","$500.00","69b6cccc535d7e8afa108732","03/15/2026 8:14am","08/29/2026 3:53am","Artificial Intelligence (Bachelor of Arts),Care & Management (Bachelor of Science),Digital Business Management (Bachelor of Arts),Digital Transformation Management (Master of Science),Global SMEs (Master of Arts),International Business Administration (Bachelor of Arts),International Management (Master of Arts),International Technology Transfer Management (Master of Science),                                     Management and Technology (Bachelor of Engineering)                               Major: Energy & Environment,                                     Management and Technology (Bachelor of Engineering)                                     Major: Mechanical Engineering,Marketing Management (Bachelor of Arts),                 Master of Business Administration (MBA) – General Technology Management                 Major: Data Science,                 Master of Business Administration (MBA) – General Technology Management                 Major: Environment and Energy Management,Occupational Therapy (Bachelor of Science),Physician Assistance (Bachelor of Science),Physiotherapy (Bachelor of Science),Sports Management (Bachelor of Arts),Sustainability and Climate Management (Master of Arts)","403",""
