"Campus Name","Location","Location : Street 1","Location : Street 2","Location : City","Location : State","Location : Zip","Location : Country","Location : Latitude","Location : Longitude","Record ID","Created On","Updated On","Total Programs","Program Level"
"Berlin","Fachhochschule des Mittelstands Ernst-Reuter-Platz 3-5 Berlin, Berlin 10587 Germany","Fachhochschule des Mittelstands","Ernst-Reuter-Platz 3-5","Berlin","Berlin","10587","Germany","41.3287","-73.7423","69b6ccc66407b77946b04c15","03/15/2026 8:14am","06/22/2026 3:17am","8","Bachelor, Master"
"Bielefeld","Fachhochschule des Mittelstands 10 g Ravensberger Straße Bielefeld, NRW 33602 Germany","Fachhochschule des Mittelstands","10 g Ravensberger Straße","Bielefeld","NRW","33602","Germany","52.0245","8.5326","69b6ccc76407b77946b04c21","03/15/2026 8:14am","06/03/2026 9:22am","4","Bachelor"
"Cologne","Fachhochschule des Mittelstands 62 Hohenstaufenring Köln, NRW 50674 Germany","Fachhochschule des Mittelstands","62 Hohenstaufenring","Köln","NRW","50674","Germany","50.93333","6.95","69b6ccc86407b77946b04c29","03/15/2026 8:14am","06/03/2026 9:22am","0","Master"
"Düren","Fachhochschule des Mittelstands 12 Hans-Brückmann-Straße Düren, NRW 52351 Germany","Fachhochschule des Mittelstands","12 Hans-Brückmann-Straße","Düren","NRW","52351","Germany","50.8086","6.4982","69b6ccc76407b77946b04c25","03/15/2026 8:14am","06/22/2026 3:17am","6","Bachelor, Master"
"Frechen (near Cologne)","Fachhochschule des Mittelstands 33a Kölner Straße Frechen, NRW 50226 Germany","Fachhochschule des Mittelstands","33a Kölner Straße","Frechen","NRW","50226","Germany","50.9133","6.8152","69b7a0f3dccac97e190723af","03/15/2026 11:19pm","06/03/2026 9:22am","3","Bachelor"
"Online Study","Online ","Online","","","","","","","","69baaa9b134bdb87913339fc","03/18/2026 6:37am","04/13/2026 3:07am","0","Bachelor"
"Rostock","Fachhochschule des Mittelstands Kröpeliner Str. 85 Rostock, Mecklenburg-Western Pomerania 18055 Germany","Fachhochschule des Mittelstands","Kröpeliner Str. 85","Rostock","Mecklenburg-Western Pomerania","18055","Germany","54.0887","12.14049","69b6ccc76407b77946b04c1d","03/15/2026 8:14am","06/03/2026 9:21am","0","Master"
"Waldshut","Fachhochschule des Mittelstands 15 Bismarckstraße Waldshut-Tiengen, BW 79761 Germany","Fachhochschule des Mittelstands","15 Bismarckstraße","Waldshut-Tiengen","BW","79761","Germany","47.6167","8.2167","69b6ccc66407b77946b04c19","03/15/2026 8:14am","06/03/2026 9:21am","4","Bachelor"
