"Study Level","Record ID","Created On","Updated On"
"Bachelor","69bbe9c164032db45aa2090e","03/19/2026 5:19am","03/19/2026 5:19am"
"Foundation","69bbe9d4e8aa308c22fd0bf1","03/19/2026 5:19am","03/19/2026 5:19am"
"Master","69bbe9d4f3ec448e4ddaa7c1","03/19/2026 5:19am","03/19/2026 5:19am"
"MBA","69bbe9d4680ccc622c2b8264","03/19/2026 5:19am","03/19/2026 5:19am"
