"Student","Degree Level","Global Document Name","Record ID","Created On","Updated On","Required","Note","Applicable Countries","Document Type","Description","Student Documents & Status"
"","Master","English Proficiency Test","69bcbc3404fb9cc124543152","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Language Proficiency","Valid English language test result (IELTS, TOEFL, PTE, etc.)",""
"","Master","APS Certificate","69bcbc3504fb9cc124543157","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","India, China, Vietnam, Mongolia","Academic Recognition","APS verification certificate required for certain countries (e.g. Germany)",""
"","Master","Curriculum Vitae (CV)","69bcbc3504fb9cc12454315c","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Professional","Your latest CV with education, work experience, and skills",""
"","Master","A Valid Passport Copy","69bcbc3504fb9cc124543161","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Identity","A valid passport showing your personal details and photo page",""
"","Bachelor","H.S.C / UG Diploma Passing Certificate","69bcbc3504fb9cc124543166","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Certificate proving you have passed 12th grade",""
"","Bachelor","H.S.C / UG Diploma Marksheet/s","69bcbc3504fb9cc12454316b","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Official marksheet of your 12th (higher secondary) exams",""
"","Bachelor","S.S.C Passing Certificate","69bcbc3504fb9cc124543170","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Certificate proving you have passed 10th grade",""
"","Bachelor","S.S.C Marksheet","69bcbc3504fb9cc124543175","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Official marksheet of your 10th (secondary school) exams",""
"","Bachelor","English Proficiency Test","69bcbc3504fb9cc12454317a","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Language Proficiency","Valid English language test result (IELTS, TOEFL, PTE, etc.)",""
"","Bachelor","APS Certificate","69bcbc3504fb9cc12454317f","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","India, China, Vietnam, Mongolia","Academic Recognition","APS verification certificate required for certain countries (e.g. Germany)",""
"","Bachelor","Curriculum Vitae (CV)","69bcbc3504fb9cc124543184","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Professional","Your latest CV with education, work experience, and skills",""
"","Bachelor","A Valid Passport Copy","69bcbc3504fb9cc124543189","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Identity","A valid passport showing your personal details and photo page",""
